GEO_NAME,CHARACTERISTIC_ID,CHARACTERISTIC_NAME,CHARACTERISTIC_CODE,C1_COUNT_TOTAL,C10_RATE_TOTAL
35200197,1,"Population, 2021",pop_2021,10378.0,
35200197,2,"Population, 2016",pop_2016,10529.0,
35200197,3,"Population percentage change, 2016 to 2021",pop_pct_change,-1.4,-1.4
35200197,6,Population density per square kilometre,pop_density,4161.7,4161.7
35200197,34,Total - Distribution (%) of the population by broad age groups - 100% data,age_total_dist,100.0,100.0
35200197,35,  0 to 14 years,age_0_14,15.2,15.2
35200197,36,  15 to 64 years,age_15_64,67.0,67.0
35200197,37,  65 years and over,age_65_over,17.8,17.8
35200197,38,    85 years and over,age_85_over,2.7,2.7
35200197,39,Average age of the population,age_mean,41.9,41.9
35200197,40,Median age of the population,age_median,41.6,41.6
35200197,50,Total - Private households by household size - 100% data,pvt_house_total,3945.0,100.0
35200197,51,  1 person,pvt_house_1,1145.0,29.0
35200197,52,  2 persons,pvt_house_2,1025.0,26.0
35200197,53,  3 persons,pvt_house_3,695.0,17.6
35200197,54,  4 persons,pvt_house_4,620.0,15.7
35200197,55,  5 or more persons,pvt_house_5plus,465.0,11.8
35200197,56,Number of persons in private households,pvt_house_persons,10380.0,100.0
35200197,57,Average household size,pvt_house_avg_size,2.6,2.6
35200197,111,Total - Income statistics in 2020 for the population aged 15 years and over in private households - 100% data,income_total,8800.0,100.0
35200197,112,  Number of total income recipients aged 15 years and over in private households in 2020 - 100% data,income_total_recip,8400.0,95.5
35200197,113,    Median total income in 2020 among recipients ($),income_total_median,34800.0,34800.0
35200197,114,  Number of after-tax income recipients aged 15 years and over in private households in 2020 - 100% data,income_aftertax_recip,8415.0,95.6
35200197,115,    Median after-tax income in 2020 among recipients ($),income_aftertax_median,32400.0,32400.0
35200197,116,  Number of market income recipients aged 15 years and over in private households in 2020 - 100% data,income_market_recip,6985.0,79.4
35200197,117,    Median market income in 2020 among recipients ($),income_market_median,28800.0,28800.0
35200197,118,  Number of employment income recipients aged 15 years and over in private households in 2020 - 100% data,income_emp_recip,5800.0,65.9
35200197,119,    Median employment income in 2020 among recipients ($),income_emp_median,32400.0,32400.0
35200197,120,  Number of government transfers recipients aged 15 years and over in private households in 2020 - 100% data,income_govtrans_recip,7855.0,89.3
35200197,121,    Median government transfers in 2020 among recipients ($),income_govtrans_median,11000.0,11000.0
35200197,122,  Number of employment insurance benefits recipients aged 15 years and over in private households in 2020 - 100% data,income_ei_recip,980.0,11.1
35200197,123,    Median employment insurance benefits in 2020 among recipients ($),income_ei_median,5840.0,5840.0
35200197,124,  Number of COVID-19 emergency and recovery benefits recipients aged 15 years and over in private households in 2020 - 100% data,income_covid_recip,3025.0,34.4
35200197,125,    Median COVID-19 emergency and recovery benefits in 2020 among recipients ($),income_covid_median,9500.0,9500.0
35200197,345,"Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)",lim_at_prev,13.5,13.5
35200197,346,  0 to 17 years (%),lim_at_0_17,17.8,17.8
35200197,347,    0 to 5 years (%),lim_at_0_5,18.4,18.4
35200197,348,  18 to 64 years (%),lim_at_18_64,10.7,10.7
35200197,349,  65 years and over (%),lim_at_65_over,18.8,18.8
35200197,365,Total - Adjusted after-tax economic family income decile group for the population in private households - 100% data,income_decile_total,10375.0,100.0
35200197,366,  In bottom half of the distribution,income_decile_bottom_half,5870.0,56.6
35200197,367,    In bottom decile,income_decile_1,1300.0,12.5
35200197,368,    In second decile,income_decile_2,1225.0,11.8
35200197,369,    In third decile,income_decile_3,1245.0,12.0
35200197,370,    In fourth decile,income_decile_4,1115.0,10.7
35200197,371,    In fifth decile,income_decile_5,985.0,9.5
35200197,372,  In top half of the distribution,income_decile_top_half,4510.0,43.5
35200197,373,    In sixth decile,income_decile_6,1040.0,10.0
35200197,374,    In seventh decile,income_decile_7,965.0,9.3
35200197,375,    In eighth decile,income_decile_8,1080.0,10.4
35200197,376,    In ninth decile,income_decile_9,910.0,8.8
35200197,377,    In top decile,income_decile_10,515.0,5.0
35200197,378,Total - Inequality measures for the population in private households - 100% data,gini_measures,10380.0,10380.0
35200197,379,  Gini index on adjusted household total income,gini_total_income,0.292,0.292
35200197,380,  Gini index on adjusted household market income,gini_market_income,0.442,0.442
35200197,381,  Gini index on adjusted household after-tax income,gini_aftertax_income,0.262,0.262
35200197,382,  P90/P10 ratio on adjusted household after-tax income,gini_p90_p10,3.6,3.6
35200197,1414,Total - Private households by tenure - 25% sample data,housing_tenure_total,3945.0,100.0
35200197,1415,  Owner,housing_tenure_owner,1990.0,50.4
35200197,1416,  Renter,housing_tenure_renter,1955.0,49.6
35200197,1417,"  Dwelling provided by the local government, First Nation or Indian band",housing_tenure_provided,0.0,0.0
35200197,1418,Total - Occupied private dwellings by condominium status - 25% sample data,housing_condo_total,3945.0,100.0
35200197,1465,"Total - Owner and tenant households with household total income greater than zero, in non-farm, non-reserve private dwellings by shelter-cost-to-income ratio - 25% sample data",housing_shelter_total,3920.0,100.0
35200197,1466,  Spending less than 30% of income on shelter costs,housing_shelter_under30,2885.0,73.6
35200197,1467,  Spending 30% or more of income on shelter costs,housing_shelter_30plus,1035.0,26.4
35200197,1468,    30% to less than 100%,housing_shelter_30_100,950.0,24.2
35200197,1479,"Total - Owner and tenant households with household total income greater than zero and shelter-cost-to-income ratio less than 100%, in non-farm, non-reserve private dwellings - 25% sample data",housing_core_need_total,3830.0,100.0
35200197,1480,  In core need,housing_core_need_yes,875.0,22.8
35200197,1481,  Not in core need,housing_core_need_no,2965.0,77.4
35200197,1482,"Total - Owner households in non-farm, non-reserve private dwellings - 25% sample data",housing_owner_total,1990.0,
35200197,1483,  % of owner households with a mortgage,housing_owner_mortgage_pct,57.0,57.0
35200197,1484,  % of owner households spending 30% or more of its income on shelter costs,housing_owner_shelter_30plus_pct,16.6,16.6
35200197,1485,  % in core housing need,housing_owner_core_need_pct,8.2,8.2
35200197,1522,Total - Citizenship for the population in private households - 25% sample data,citizen_total,10380.0,100.0
35200197,1523,  Canadian citizens,citizen_canadian,8850.0,85.3
35200197,1524,    Canadian citizens aged under 18,citizen_canadian_under18,1745.0,16.8
35200197,1525,    Canadian citizens aged 18 and over,citizen_canadian_18over,7110.0,68.5
35200197,1526,  Not Canadian citizens,citizen_not_canadian,1525.0,14.7
35200197,1683,Total - Visible minority for the population in private households - 25% sample data,visible_minority_total,10375.0,100.0
35200197,1684,  Total visible minority population,visible_minority_yes,5985.0,57.7
35200197,1685,    South Asian,visible_minority_south_asian,1530.0,14.7
35200197,1686,    Chinese,visible_minority_chinese,110.0,1.1
35200197,1687,    Black,visible_minority_black,1870.0,18.0
35200197,1688,    Filipino,visible_minority_filipino,575.0,5.5
35200197,1689,    Arab,visible_minority_arab,65.0,0.6
35200197,1690,    Latin American,visible_minority_latin_american,730.0,7.0
35200197,1691,    Southeast Asian,visible_minority_southeast_asian,215.0,2.1
35200197,1692,    West Asian,visible_minority_west_asian,220.0,2.1
35200197,1693,    Korean,visible_minority_korean,40.0,0.4
35200197,1694,    Japanese,visible_minority_japanese,25.0,0.2
35200197,1695,"    Visible minority, n.i.e.",visible_minority_nie,355.0,3.4
35200197,1696,    Multiple visible minorities,visible_minority_multiple,255.0,2.5
35200197,1697,  Not a visible minority,visible_minority_no,4390.0,42.3
35200197,1998,"Total - Highest certificate, diploma or degree for the population aged 15 years and over in private households - 25% sample data",education_total,8800.0,100.0
35200197,1999,"  No certificate, diploma or degree",education_none,1865.0,21.2
35200197,2000,  High (secondary) school diploma or equivalency certificate,education_secondary,2725.0,31.0
35200197,2001,"  Postsecondary certificate, diploma or degree",education_postsec,4210.0,47.8
35200197,2002,    Postsecondary certificate or diploma below bachelor level,education_postsec_below_bachelor,2315.0,26.3
35200197,2003,      Apprenticeship or trades certificate or diploma,education_apprentice_trades,470.0,5.3
35200197,2004,        Non-apprenticeship trades certificate or diploma,education_apprentice_non,250.0,2.8
35200197,2005,        Apprenticeship certificate,education_apprentice_cert,215.0,2.4
35200197,2006,"      College, CEGEP or other non-university certificate or diploma",education_college,1570.0,17.8
35200197,2007,      University certificate or diploma below bachelor level,education_university_below_bachelor,285.0,3.2
35200197,2008,    Bachelor's degree or higher,education_bachelor_higher,1890.0,21.5
35200197,2009,      Bachelor's degree,education_bachelor,1425.0,16.2
35200197,2010,      University certificate or diploma above bachelor level,education_university_above_bachelor,130.0,1.5
35200197,2011,"      Degree in medicine, dentistry, veterinary medicine or optometry",education_medical_dental_vet,30.0,0.3
35200197,2012,      Master's degree,education_masters,285.0,3.2
35200197,2013,      Earned doctorate,education_doctorate,30.0,0.3
35200197,2014,"Total - Highest certificate, diploma or degree for the population aged 25 to 64 years in private households - 25% sample data",education_25_64_total,5720.0,100.0
35200197,2015,"  No certificate, diploma or degree",education_25_64_none,820.0,14.3
35200197,2016,  High (secondary) school diploma or equivalency certificate,education_25_64_secondary,1690.0,29.5
35200197,2017,"  Postsecondary certificate, diploma or degree",education_25_64_postsec,3210.0,56.1
35200197,2018,    Postsecondary certificate or diploma below bachelor level,education_25_64_postsec_below_bachelor,1700.0,29.7
35200197,2019,      Apprenticeship or trades certificate or diploma,education_25_64_apprentice_trades,300.0,5.2
35200197,2020,        Non-apprenticeship trades certificate or diploma,education_25_64_apprentice_non,165.0,2.9
35200197,2021,        Apprenticeship certificate,education_25_64_apprentice_cert,135.0,2.4
35200197,2022,"      College, CEGEP or other non-university certificate or diploma",education_25_64_college,1205.0,21.1
35200197,2023,      University certificate or diploma below bachelor level,education_25_64_university_below_bachelor,195.0,3.4
35200197,2024,    Bachelor's degree or higher,education_25_64_bachelor_higher,1515.0,26.5
35200197,2025,      Bachelor's degree,education_25_64_bachelor,1145.0,20.0
35200197,2026,      University certificate or diploma above bachelor level,education_25_64_university_above_bachelor,90.0,1.6
35200197,2027,"      Degree in medicine, dentistry, veterinary medicine or optometry",education_25_64_medical_dental_vet,20.0,0.3
35200197,2028,      Master's degree,education_25_64_masters,240.0,4.2
35200197,2029,      Earned doctorate,education_25_64_doctorate,20.0,0.3
35200197,2246,Total - Labour force aged 15 years and over by occupation - Broad category - National Occupational Classification (NOC) 2021 - 25% sample data,labour_occupation_total,5305.0,100.0
35200197,2247,  Occupation - not applicable,labour_occupation_na,185.0,3.5
35200197,2248,  All occupations,labour_occupation_all,5120.0,96.5
35200197,2249,    0 Legislative and senior management occupations,labour_occupation_0_management,35.0,0.7
35200197,2250,"    1 Business, finance and administration occupations",labour_occupation_1_business_finance,920.0,17.3
35200197,2251,    2 Natural and applied sciences and related occupations,labour_occupation_2_science,360.0,6.8
35200197,2252,    3 Health occupations,labour_occupation_3_health,335.0,6.3
35200197,2253,"    4 Occupations in education, law and social, community and government services",labour_occupation_4_education_law_social,535.0,10.1
35200197,2254,"    5 Occupations in art, culture, recreation and sport",labour_occupation_5_arts_culture,110.0,2.1
35200197,2255,    6 Sales and service occupations,labour_occupation_6_sales_service,1355.0,25.5
35200197,2256,"    7 Trades, transport and equipment operators and related occupations",labour_occupation_7_trades_transport,1045.0,19.7
35200197,2257,"    8 Natural resources, agriculture and related production occupations",labour_occupation_8_natural_resources,65.0,1.2
35200197,2258,    9 Occupations in manufacturing and utilities,labour_occupation_9_manufacturing,355.0,6.7
35200197,2259,Total - Labour force aged 15 years and over by industry - Sectors - North American Industry Classification System (NAICS) 2017 - 25% sample data,labour_industry_total,5305.0,100.0
35200197,2260,  Industry - not applicable,labour_industry_na,185.0,3.5
35200197,2261,  All industries,labour_industry_all,5120.0,96.5
35200197,2262,"    11 Agriculture, forestry, fishing and hunting",labour_industry_11_agriculture,10.0,0.2
35200197,2263,"    21 Mining, quarrying, and oil and gas extraction",labour_industry_21_mining,0.0,0.0
35200197,2264,    22 Utilities,labour_industry_22_utilities,0.0,0.0
35200197,2265,    23 Construction,labour_industry_23_construction,425.0,8.0
35200197,2266,    31-33 Manufacturing,labour_industry_31_33_manufacturing,605.0,11.4
35200197,2267,    41 Wholesale trade,labour_industry_41_wholesale,250.0,4.7
35200197,2268,    44-45 Retail trade,labour_industry_44_45_retail,590.0,11.1
35200197,2269,    48-49 Transportation and warehousing,labour_industry_48_49_transportation,410.0,7.7
35200197,2270,    51 Information and cultural industries,labour_industry_51_information,85.0,1.6
35200197,2271,    52 Finance and insurance,labour_industry_52_finance,195.0,3.7
35200197,2272,    53 Real estate and rental and leasing,labour_industry_53_real_estate,100.0,1.9
35200197,2273,"    54 Professional, scientific and technical services",labour_industry_54_professional,365.0,6.9
35200197,2274,    55 Management of companies and enterprises,labour_industry_55_management,10.0,0.2
35200197,2275,"    56 Administrative and support, waste management and remediation services",labour_industry_56_administrative,430.0,8.1
35200197,2276,    61 Educational services,labour_industry_61_education,310.0,5.8
35200197,2277,    62 Health care and social assistance,labour_industry_62_healthcare,620.0,11.7
35200197,2278,"    71 Arts, entertainment and recreation",labour_industry_71_arts,80.0,1.5
35200197,2279,    72 Accommodation and food services,labour_industry_72_accommodation,235.0,4.4
35200197,2280,    81 Other services (except public administration),labour_industry_81_other_services,225.0,4.2
35200197,2281,    91 Public administration,labour_industry_91_public_admin,145.0,2.7
